BarName,Beername,Amount,
Barnacle Bar,Schlafly Pumpkin Ale,180,
Barnacle Bar,Russian River Blind Pig IPA,197,
Barnacle Bar,Zima,213,
Barnacle Bar,Brooklyn Brewery Lager,130,
Barnacle Bar,Hefeweizen Doppelbock,125,
Barnacle Bar,Michelob Amber Bock,246,
Barnacle Bar,Sierra Nevada Pale Ale,196,
Barnacle Bar,Blue Moon,118,
Barnacle Bar,Craftsman Cabernale,132,
Barnacle Bar,Alpine Duet IPA,135,
Beach Tree Bar,Stone IPA,135,
Beach Tree Bar,Saint Arnold Fancy Lawnmower,226,
Beach Tree Bar,Allagash Curieux,169,
Beach Tree Bar,Sam Adams Boston Lager,207,
Beach Tree Bar,Highland Cold Mountain Winter Ale,139,
Beach Tree Bar,Brewery Ommegang Three Philosophers,208,
Beach Tree Bar,Left Hand Milk Stout Nitro,219,
Beach Tree Bar,Ballast Point Sculpin,167,
Beach Tree Bar,Michelob Amber Bock,166,
Big Bar,New Belgium Lips of Faith La Folie,212,
Big Bar,Firestone Walker Wookey Jack,140,
Big Bar,Allagash Curieux,148,
Big Bar,Sauza Diablo,158,
Big Bar,Surly Brewing Darkness,124,
Big Bar,North Coast Old Rasputin,139,
Big Bar,Zima Citrus,206,
Big Bar,Hair of the Dog Adam,217,
Big Bar,Firestone Walker Union Jack IPA,227,
Big Bar,Extra Gold,227,
Billy Sunday,Schlafly Pumpkin Ale,220,
Billy Sunday,Ballast Point Sculpin,117,
Billy Sunday,Green Flash Hop Head Red,191,
Billy Sunday,Michelob Golden Draft,200,
Billy Sunday,Michelob Amber Bock,177,
Billy Sunday,Dogfish Head 90 Minute IPA,201,
Billy Sunday,Lagunitas Brown Shugga,229,
Billy Sunday,Firestone Walker Union Jack IPA,121,
Billy Sunday,Westbrook Gose,151,
Billy Sunday,Zima Citrus,164,
Billy Sunday,Fullsteam Carver,171,
Billy Sunday,The Alchemist Heady Topper,113,
Billy Sunday,Cascade Brewing Apricot Ale,241,
Bit House Saloon,Funky Buddha Maple Bacon Coffee Porter,240,
Bit House Saloon,Founders Breakfast Stout,155,
Bit House Saloon,Cigar City Hanaphu Imperial Stout,225,
Bit House Saloon,Jester King Boxer’s Revenge,187,
Bit House Saloon,Southpaw Light,213,
Bit House Saloon,New Holland Dragon’s Milk,166,
Bit House Saloon,Killian's,177,
Bit House Saloon,Sierra Nevada Bigfoot Barleywine-Style Ale,143,
Bit House Saloon,Russian River Blind Pig IPA,212,
Bit House Saloon,Russian River Pliny the Elder,137,
BlackTail,Green Flash Palate Wrecker,137,
BlackTail,Russian River Supplication,117,
BlackTail,Firestone Walker Velvet Merkin,170,
BlackTail,Gigantic IPA,239,
BlackTail,Cigar City Hanaphu Imperial Stout,140,
BlackTail,Blue Moon,145,
BlackTail,Stone Enjoy By… IPA,183,
BlackTail,Wild Heaven Eschaton,130,
BlackTail,Sauza Diablo,129,
BlackTail,Haymarket Angry Birds Rye IPA,197,
BlackTail,Kern River Brewing Citra DIPA,149,
BlackTail,New Belgium Fat Tire,220,
BlackTail,Smuttynose Finest Kind IPA,222,
BlackTail,Breckenridge Vanilla Porter,185,
BlackTail,Three Floyds Zombie Dust,212,
Blackberry Farm,Terrapin Wake n Bake,207,
Blackberry Farm,Pipeworks Citra,216,
Blackberry Farm,Foothills Brewing Sexual Chocolate,137,
Blackberry Farm,Michelob Golden Draft Light,204,
Blackberry Farm,Original Premium Lager,175,
Blackberry Farm,DC Brau On the Wings Of Armageddon,124,
Blackberry Farm,AleSmith Horny Devil,194,
Blackberry Farm,Wicked Weed Serenity,196,
Blackberry Farm,Clown Shoes Undead Party Crasher,194,
Blackberry Farm,Founders Red’s Rye,201,
Blue Angel,New Glarus Brewing Serendipity,229,
Blue Angel,Bell’s Two Hearted,119,
Blue Angel,ICEHOUSE,202,
Blue Angel,Stolichnaya Citrona,197,
Blue Angel,Michelob Amber Bock,208,
Blue Angel,Russian River Blind Pig IPA,152,
Blue Angel,Craftsman Cabernale,247,
Blue Angel,Killian's,177,
Blue Angel,Ten Fidy,245,
Blue Angel,Jai Alai IPA,223,
Blue Angel,Dale's Pale Ale,175,
Blue Angel,Sierra Nevada Pale Ale,248,
Blue Angel,Tröegs Nugget Nectar,231,
Blue Tattoo,Toppling Goliath PseudoSue,243,
Blue Tattoo,Zima Citrus,112,
Blue Tattoo,Hair of the Dog Adam,231,
Blue Tattoo,Creamy Dark,122,
Blue Tattoo,Surly Brewing Darkness,152,
Blue Tattoo,Upslope Brown Ale,143,
Blue Tattoo,Budweiser,175,
Blue Tattoo,Rogue Shakespeare Oatmeal Stout,125,
Blue Tattoo,Firestone Walker Wookey Jack,101,
Blue Tattoo,Original Premium Lager,195,
Blue Tattoo,Pipeworks Citra,144,
Blue Tattoo,Avery Uncle Jacob’s Stout,165,
Britannia Arms,Extra Gold,219,
Britannia Arms,Green Flash Palate Wrecker,104,
Britannia Arms,Blue Moon,250,
Britannia Arms,Killian's,100,
Britannia Arms,Firestone Walker Wookey Jack,246,
Britannia Arms,Russian River Pliny the Elder,151,
Britannia Arms,Goose Island Bourbon County Stout,145,
Britannia Arms,Perennial Artisan Ales Abraxas Imperial Stout,158,
Broken Shaker,Original Premium,152,
Broken Shaker,The Bruery Saison Rue,229,
Broken Shaker,Wild Heaven Eschaton,226,
Broken Shaker,Highland Cold Mountain Winter Ale,115,
Broken Shaker,Ten Fidy,117,
Broken Shaker,Allagash White,146,
Broken Shaker,Lagunitas Brown Shugga,111,
Broken Shaker,New Holland Dragon’s Milk,171,
Broken Shaker,Dale's Pale Ale,130,
Broken Shaker,Michelob Golden Draft,175,
Broken Shaker,Brooklyn Brewery Lager,158,
Cabana,Sam Adams Boston Lager,170,
Cabana,Three Floyds Zombie Dust,138,
Cabana,Ballast Point Sculpin,238,
Cabana,Sauza Diablo,176,
Cabana,Ten Fidy,200,
Cabana,Foothills Brewing Sexual Chocolate,111,
Cabana,Firestone Walker Union Jack IPA,126,
Cabana,Michelob Golden Draft,241,
Cabana,Great Lakes Edmund Fitzgerald Porter,167,
Cannon,Bell’s Two Hearted,185,
Cannon,Ten Fidy,225,
Cannon,Hefeweizen,192,
Cannon,Bud,135,
Cannon,Gigantic IPA,125,
Cannon,Rogue Shakespeare Oatmeal Stout,144,
Cannon,Fullsteam Carver,113,
Cannon,Great Divide Yeti,169,
Cannon,Avery Mephistopheles Stout,168,
Caravan,Three Floyds Zombie Dust,112,
Caravan,Deschutes Black Butte Porter,169,
Caravan,Michelob ULTRA,227,
Caravan,Brewery Ommegang Three Philosophers,184,
Caravan,Allagash Curieux,229,
Caravan,AleSmith Horny Devil,101,
Caravan,Breckenridge Vanilla Porter,171,
Caravan,Avery Uncle Jacob’s Stout,186,
Charlie Was A Sinner,The Alchemist Focal Banger,248,
Charlie Was A Sinner,Sierra Nevada Bigfoot Barleywine-Style Ale,110,
Charlie Was A Sinner,Foothills Brewing Sexual Chocolate,158,
Charlie Was A Sinner,The Bruery Saison Rue,238,
Charlie Was A Sinner,New Glarus Brewing Serendipity,108,
Charlie Was A Sinner,Anchor Steam Beer,165,
Charlie Was A Sinner,Boulevard Tank 7,157,
Charlie Was A Sinner,Sierra Nevada Pale Ale,231,
Charlie Was A Sinner,Three Floyds Zombie Dust,199,
Clover Club,Odell 90 Shilling Ale,177,
Clover Club,Troegs Mad Elf,116,
Clover Club,Russian River Pliny the Elder,211,
Clover Club,Great Lakes Edmund Fitzgerald Porter,199,
Clover Club,Highland Cold Mountain Winter Ale,167,
Clover Club,Wicked Weed Serenity,195,
Clover Club,Green Flash Hop Head Red,113,
Clover Club,Anchor Steam Beer,192,
Clover Club,Goose Island Bourbon County Stout,245,
Clover Club,Firestone Walker Velvet Merkin,156,
Clover Club,Budweiser,230,
Clover Club,Schlafly Pumpkin Ale,208,
Clover Club,Cascade Brewing Apricot Ale,133,
Clover Club,Bud,218,
Clover Club,New Belgium Lips of Faith La Folie,215,
Club 175,Hair of the Dog Adam,120,
Club 175,Bell’s Two Hearted,109,
Club 175,Green Flash Palate Wrecker,179,
Club 175,Alpine Duet IPA,250,
Club 175,Russian River Supplication,145,
Club 175,Budweiser,154,
Club 175,Bell’s Hop Slam,107,
Club 175,Zima Citrus,108,
Club 175,Killian's,198,
Club 175,Firestone Walker Union Jack IPA,171,
Club 175,New Glarus Brewing Serendipity,132,
Club 175,Three Floyds Zombie Dust,234,
Club 175,Three Floyds Dark Lord,218,
Club No Minors,Haymarket Angry Birds Rye IPA,219,
Club No Minors,Jolly Pumpkin La Roja,230,
Club No Minors,Southpaw Light,187,
Club No Minors,Avery Rumpkin,147,
Club No Minors,Michelob ULTRA,182,
Club No Minors,Avery Mephistopheles Stout,190,
Club No Minors,Brooklyn Brewery Lager,130,
Club No Minors,Alpine Duet IPA,209,
Club No Minors,Capital Autumnal Fire Doppelbock,250,
Club No Minors,Firestone Walker Union Jack IPA,197,
Club No Minors,Foothills Brewing Sexual Chocolate,141,
Club No Minors,Lagunitas IPA,185,
Clyde Common,Avery Mephistopheles Stout,195,
Clyde Common,Sauza Diablo,161,
Clyde Common,Bell’s Two Hearted,166,
Clyde Common,Haymarket Angry Birds Rye IPA,240,
Clyde Common,Dark Horse Plead the 5th,226,
Clyde Common,New Belgium Lips of Faith La Folie,215,
Clyde Common,Green Flash Hop Head Red,142,
Clyde Common,Michelob Golden Draft,206,
Clyde Common,Russian River Pliny the Elder,245,
Coconut Willie's Cocktail Lounge,Foothills Brewing Sexual Chocolate,108,
Coconut Willie's Cocktail Lounge,Firestone Walker Wookey Jack,150,
Coconut Willie's Cocktail Lounge,DC Brau On the Wings Of Armageddon,184,
Coconut Willie's Cocktail Lounge,Toppling Goliath PseudoSue,128,
Coconut Willie's Cocktail Lounge,Alpine Great,139,
Coconut Willie's Cocktail Lounge,Allagash Curieux,126,
Coconut Willie's Cocktail Lounge,Bell’s Hop Slam,194,
Coconut Willie's Cocktail Lounge,Allagash White,119,
Dante,Left Hand Milk Stout Nitro,229,
Dante,Goose Island Bourbon County Stout,162,
Dante,New Holland Dragon’s Milk,202,
Dante,Upslope Brown Ale,141,
Dante,Michelob ULTRA,115,
Dante,Lagunitas Brown Shugga,244,
Dante,Russian River Pliny the Elder,226,
Dante,Rogue Shakespeare Oatmeal Stout,179,
Dante,Michelob Amber Bock,158,
Dante,Zima,175,
Dante,Lost Abbey Duck Duck Gooze,245,
Daquiri Time Out,Southpaw Light,189,
Daquiri Time Out,Jai Alai IPA,226,
Daquiri Time Out,Green Flash Hop Head Red,235,
Daquiri Time Out,Wild Heaven Eschaton,184,
Daquiri Time Out,Westbrook Mexican Cake,195,
Daquiri Time Out,The Alchemist Focal Banger,182,
Daquiri Time Out,Avery Mephistopheles Stout,170,
Daquiri Time Out,Bell’s Two Hearted,123,
Daquiri Time Out,Odell 90 Shilling Ale,164,
Death + Company,Michelob ULTRA,236,
Death + Company,Westbrook Mexican Cake,129,
Death + Company,Foothills Brewing Sexual Chocolate,148,
Death + Company,Green Flash Palate Wrecker,217,
Death + Company,New Belgium Lips of Faith La Folie,204,
Death + Company,Clown Shoes Undead Party Crasher,180,
Death + Company,Terrapin Wake n Bake,199,
Death + Company,Russian River Pliny the Elder,194,
Diamond Reef,Boulevard Tank 7,186,
Diamond Reef,Westbrook Gose,248,
Diamond Reef,Saint Arnold Fancy Lawnmower,106,
Diamond Reef,Haymarket Angry Birds Rye IPA,223,
Diamond Reef,Ballast Point Sculpin,180,
Diamond Reef,Breckenridge Vanilla Porter,115,
Diamond Reef,Brewery Ommegang Three Philosophers,247,
Diamond Reef,Craftsman Cabernale,173,
Diamond Reef,Sauza Diablo,222,
Diamond Reef,Wicked Weed Serenity,248,
Distil,Boulevard Tank 7,195,
Distil,Russian River Supplication,185,
Distil,Sam Adams Boston Lager,158,
Distil,New Belgium Lips of Faith La Folie,135,
Distil,Kern River Brewing Citra DIPA,140,
Distil,Great Lakes Edmund Fitzgerald Porter,250,
Distil,Troegs Mad Elf,232,
Distil,Russian River Pliny the Elder,145,
Distil,Great Divide Yeti,110,
Distil,Hair of the Dog Adam,107,
Distil,North Coast Old Rasputin,182,
Distil,Revolution Anti-Hero IPA,120,
Distil,Budweiser,171,
Distil,Gigantic IPA,199,
Donna,Bell’s Two Hearted,199,
Donna,Anchor Steam Beer,181,
Donna,Saint Arnold Fancy Lawnmower,140,
Donna,Widmer Brothers Hefeweizen,106,
Donna,Terrapin Wake n Bake,154,
Donna,Firestone Walker Parabola,203,
Donna,Westbrook Gose,210,
Donna,Revolution Anti-Hero IPA,207,
Donna,21st Amendment Bitter American,174,
Donna,Dale's Pale Ale,102,
Donna,Avery Rumpkin,146,
Donna,ICEHOUSE,201,
Donna,Michelob Golden Draft,236,
Dram & Grain,Terrapin Wake n Bake,200,
Dram & Grain,Schlafly Pumpkin Ale,105,
Dram & Grain,Sierra Nevada Pale Ale,166,
Dram & Grain,Sierra Nevada Bigfoot Barleywine-Style Ale,134,
Dram & Grain,Craftsman Cabernale,144,
Dram & Grain,Dark Horse Plead the 5th,210,
Dram & Grain,Avery Uncle Jacob’s Stout,102,
Dram & Grain,Russian River Pliny the Elder,187,
Dram & Grain,Three Floyds Dark Lord,193,
Dram & Grain,Alpine Great,193,
Dutch Kills,Founders Red’s Rye,113,
Dutch Kills,Great Lakes Edmund Fitzgerald Porter,231,
Dutch Kills,Breckenridge Vanilla Porter,180,
Dutch Kills,Extra Gold,104,
Dutch Kills,Dark Horse Plead the 5th,110,
Dutch Kills,Rogue Shakespeare Oatmeal Stout,142,
Dutch Kills,Odell 90 Shilling Ale,240,
Dutch Kills,Allagash White,106,
Dutch Kills,Funky Buddha Maple Bacon Coffee Porter,236,
Dutch Kills,Stone IPA,158,
Dutch Kills,Firestone Walker Parabola,112,
Dutch Kills,The Alchemist Focal Banger,145,
Employees Only,ICEHOUSE,152,
Employees Only,The Bruery Sans Pagaie,218,
Employees Only,New Belgium Fat Tire,246,
Employees Only,Extra Gold,104,
Employees Only,Michelob Golden Draft Light,171,
Employees Only,Michelob Golden Draft,205,
Employees Only,Allagash Curieux,144,
Employees Only,Samuel Adams Utopias,193,
Employees Only,Avery Uncle Jacob’s Stout,212,
Eulipia,Extra Gold,179,
Eulipia,Clown Shoes Undead Party Crasher,144,
Eulipia,New Holland Dragon’s Milk,246,
Eulipia,Deschutes Black Butte Porter,243,
Eulipia,Fullsteam Carver,159,
Eulipia,DC Brau On the Wings Of Armageddon,123,
Eulipia,Firestone Walker Parabola,175,
Everson Royce Bar,Smuttynose Finest Kind IPA,219,
Everson Royce Bar,Funky Buddha Maple Bacon Coffee Porter,229,
Everson Royce Bar,Gigantic IPA,132,
Everson Royce Bar,Michelob Amber Bock,224,
Everson Royce Bar,Russian River Supplication,120,
Everson Royce Bar,Lagunitas Brown Shugga,249,
Everson Royce Bar,Saint Arnold Fancy Lawnmower,137,
Everson Royce Bar,Russian River Blind Pig IPA,199,
Everson Royce Bar,Green Flash Palate Wrecker,155,
Everson Royce Bar,Half Acre Daisy Cutter,141,
Everson Royce Bar,Pipeworks Citra,209,
Everson Royce Bar,Cigar City Hanaphu Imperial Stout,149,
Everson Royce Bar,Extra Gold,181,
Everson Royce Bar,Schlafly Pumpkin Ale,175,
French 75,Breckenridge Vanilla Porter,237,
French 75,Surly Brewing Darkness,216,
French 75,Pipeworks Citra,244,
French 75,ICEHOUSE,224,
French 75,North Coast Old Rasputin,188,
French 75,Allagash White,210,
French 75,New Belgium Fat Tire,172,
French 75,Cigar City Hanaphu Imperial Stout,184,
Galaxie,Allagash White,216,
Galaxie,Firestone Walker Union Jack IPA,203,
Galaxie,The Bruery Sans Pagaie,115,
Galaxie,Michelob Golden Draft Light,243,
Galaxie,Rogue Shakespeare Oatmeal Stout,109,
Galaxie,Wicked Weed Serenity,132,
Galaxie,Great Divide Yeti,215,
Galaxie,Left Hand Milk Stout Nitro,199,
Galaxie,Haymarket Angry Birds Rye IPA,199,
Galaxie,Bud,144,
Gecko Grill,Three Floyds Zombie Dust,145,
Gecko Grill,Westbrook Mexican Cake,238,
Gecko Grill,Founders KBS (Kentucky Breakfast Stout),149,
Gecko Grill,Wicked Weed Serenity,173,
Gecko Grill,Sierra Nevada Bigfoot Barleywine-Style Ale,162,
Gecko Grill,North Coast Old Rasputin,224,
Gecko Grill,Extra Gold,181,
Gecko Grill,Founders Breakfast Stout,200,
Gecko Grill,Firestone Walker Union Jack IPA,161,
Gecko Grill,Dogfish Head 90 Minute IPA,132,
Gecko Grill,Firestone Walker Parabola,160,
Gecko Grill,Kern River Brewing Citra DIPA,123,
George & Dragon,Bud,231,
George & Dragon,Zima Citrus,138,
George & Dragon,Troegs Mad Elf,100,
George & Dragon,The Alchemist Heady Topper,192,
George & Dragon,Killian's,204,
George & Dragon,Founders Breakfast Stout,130,
George & Dragon,Funky Buddha Maple Bacon Coffee Porter,131,
George & Dragon,Russian River Supplication,154,
George & Dragon,Widmer Brothers Hefeweizen,138,
George & Dragon,Revolution Anti-Hero IPA,173,
George & Dragon,Hefeweizen Doppelbock,250,
George & Dragon,Cigar City Hanaphu Imperial Stout,184,
George & Dragon,ICEHOUSE,136,
Giza Hookah Lounge,Deschutes Black Butte Porter,173,
Giza Hookah Lounge,Green Flash Palate Wrecker,198,
Giza Hookah Lounge,Rogue Shakespeare Oatmeal Stout,205,
Giza Hookah Lounge,Blue Moon,121,
Giza Hookah Lounge,Jolly Pumpkin La Roja,136,
Giza Hookah Lounge,Highland Cold Mountain Winter Ale,221,
Giza Hookah Lounge,DC Brau On the Wings Of Armageddon,182,
Giza Hookah Lounge,Russian River Pliny the Elder,105,
Giza Hookah Lounge,Avery Rumpkin,197,
Giza Hookah Lounge,Goose Island Bourbon County Stout,217,
Giza Hookah Lounge,Three Floyds Dark Lord,105,
Giza Hookah Lounge,Original Premium Lager,240,
Giza Hookah Lounge,21st Amendment Bitter American,139,
Goodnight Gracie Jazz & Martini Bar,Fullsteam Carver,247,
Goodnight Gracie Jazz & Martini Bar,Michelob Amber Bock,163,
Goodnight Gracie Jazz & Martini Bar,Original Premium,208,
Goodnight Gracie Jazz & Martini Bar,Founders Red’s Rye,138,
Goodnight Gracie Jazz & Martini Bar,Zima,105,
Goodnight Gracie Jazz & Martini Bar,DC Brau On the Wings Of Armageddon,127,
Goodnight Gracie Jazz & Martini Bar,Samuel Adams Utopias,213,
Goodnight Gracie Jazz & Martini Bar,Bell’s Hop Slam,186,
Goodnight Gracie Jazz & Martini Bar,Gigantic IPA,202,
Half Step,New Holland Dragon’s Milk,180,
Half Step,Gigantic IPA,199,
Half Step,Cigar City Hanaphu Imperial Stout,218,
Half Step,Budweiser,156,
Half Step,NoDa Hop Drop n Roll,141,
Half Step,Dark Horse Plead the 5th,231,
Half Step,Hefeweizen,129,
Half Step,Anchor Steam Beer,108,
Hedley Club,Craftsman Cabernale,233,
Hedley Club,Smuttynose Finest Kind IPA,154,
Hedley Club,Boulevard Tank 7,242,
Hedley Club,Alpine Duet IPA,245,
Hedley Club,Lagunitas IPA,135,
Hedley Club,Capital Autumnal Fire Doppelbock,200,
Hedley Club,Bell’s Hop Slam,211,
Hedley Club,Bud,156,
Hedley Club,Upslope Brown Ale,248,
Hedley Club,Original Premium,168,
Hedley Club,Breckenridge Vanilla Porter,212,
Hedley Club,Revolution Anti-Hero IPA,138,
Hedley Club,Michelob Golden Draft,206,
Hedley Club,Wicked Weed Serenity,176,
Hedley Club,Lost Abbey Duck Duck Gooze,115,
Holeman & Finch Public House,Saint Arnold Fancy Lawnmower,230,
Holeman & Finch Public House,The Bruery Sans Pagaie,144,
Holeman & Finch Public House,Creamy Dark,121,
Holeman & Finch Public House,Surly Brewing Darkness,101,
Holeman & Finch Public House,Hefeweizen Doppelbock,221,
Holeman & Finch Public House,The Alchemist Focal Banger,157,
Holeman & Finch Public House,Michelob Golden Draft,130,
Holeman & Finch Public House,Alpine Great,213,
Holeman & Finch Public House,Cigar City Hanaphu Imperial Stout,242,
Il Fornaio,Alpine Duet IPA,173,
Il Fornaio,Cascade Brewing Apricot Ale,222,
Il Fornaio,Widmer Brothers Hefeweizen,217,
Il Fornaio,Michelob Golden Draft Light,101,
Il Fornaio,Hair of the Dog Adam,239,
Il Fornaio,New Holland Dragon’s Milk,146,
Il Fornaio,Wicked Weed Serenity,231,
Il Fornaio,Ballast Point Sculpin,182,
Il Fornaio,Jolly Pumpkin La Roja,169,
Julep,Brewery Ommegang Three Philosophers,203,
Julep,Alpine Great,219,
Julep,Saint Arnold Fancy Lawnmower,215,
Julep,Westbrook Mexican Cake,214,
Julep,Creamy Dark,148,
Julep,Firestone Walker Parabola,238,
Julep,New Glarus Brewing Serendipity,125,
Julep,Cigar City Hanaphu Imperial Stout,217,
Julep,The Alchemist Focal Banger,113,
Julep,Rogue Shakespeare Oatmeal Stout,236,
Julep,21st Amendment Bitter American,164,
Julep,New Holland Dragon’s Milk,186,
Julep,Goose Island Bourbon County Stout,165,
Kask,Original Premium Lager,206,
Kask,Stolichnaya Citrona,198,
Kask,Hefeweizen,139,
Kask,Alpine Great,160,
Kask,Founders KBS (Kentucky Breakfast Stout),225,
Kask,Odell 90 Shilling Ale,208,
Kask,Kern River Brewing Citra DIPA,250,
Kask,Funky Buddha Maple Bacon Coffee Porter,250,
King Cole Bar,Alpine Great,209,
King Cole Bar,Victory Prima Pils,105,
King Cole Bar,Terrapin Wake n Bake,109,
King Cole Bar,Smuttynose Finest Kind IPA,248,
King Cole Bar,Jester King Boxer’s Revenge,248,
King Cole Bar,Half Acre Daisy Cutter,157,
King Cole Bar,Zima,207,
King Cole Bar,Blue Moon,141,
Kon Tiki Restaurant Lounge,Dark Horse Plead the 5th,112,
Kon Tiki Restaurant Lounge,Avery Rumpkin,143,
Kon Tiki Restaurant Lounge,Three Floyds Dark Lord,133,
Kon Tiki Restaurant Lounge,Jester King Boxer’s Revenge,213,
Kon Tiki Restaurant Lounge,The Alchemist Heady Topper,111,
Kon Tiki Restaurant Lounge,21st Amendment Bitter American,125,
Kon Tiki Restaurant Lounge,Surly Brewing Darkness,214,
Kon Tiki Restaurant Lounge,Foothills Brewing Sexual Chocolate,188,
Kon Tiki Restaurant Lounge,Allagash White,119,
Kon Tiki Restaurant Lounge,Odell 90 Shilling Ale,217,
