BarName,License,State,City,Address,Phone,OpenTime,CloseTime,
Polite Provisions,MI66546,MI,Detroit,853 Duncan St,313-045-8750,16:00,08:00,
Prairie School,MI91361,MI,Detroit,511 Jean Way,313-352-9174,08:00,20:00,
Prizefighter,OH98484,OH,Cleveland,971 Miller Rd,216-407-0269,20:00,12:00,
Proof,FL23641,FL,Miami,584 Seacliff Ave,305-202-9460,08:00,20:00,
ROKC,MN62868,MN,Minneapolis,499 San Diego Ave,612-320-8666,12:00,04:00,
Range,OH91653,OH,Cleveland,381 Fern St,216-155-4963,12:00,04:00,
Raven & Rose,FL39174,FL,Jacksonville,801 Felix Ave,904-307-0460,00:00,24:00,
Red Key Tavern,WA82329,WA,Seattle,277 Alvord St,206-331-1700,20:00,12:00,
Room 11,OK50815,OK,Oklahoma City,850 Bellevue Ave,405-656-9071,20:00,12:00,
Salty Dawg Saloon,GA95922,GA,Atlanta,313 Fella Pl,404-356-4188,20:00,12:00,
Sassafras Saloon,PA28085,PA,Philadelphia,184 I-280 Southbound,215-881-4061,16:00,08:00,
Sazerac Bar,FL94659,FL,Long Beach,212 Ruger St,562-353-5554,08:00,20:00,
Seamstress,CA18971,CA,San Diego,46 Milton I Ross St,858-444-3482,12:00,04:00,
Seven Bamboo,CA98265,CA,Sacramento,444 Dow Pl,916-162-6727,00:00,24:00,
Slowly Shirley,GA50239,GA,Atlanta,39 Joice St,404-813-8588,08:00,20:00,
Social,WA23059,WA,Seattle,168 Fauntleroy Ln,206-556-0605,20:00,12:00,
Spilt Milk,AZ68467,AZ,Phoenix,630 Marvel Ct,480-823-2235,16:00,08:00,
Spirit,GA12802,GA,Atlanta,36 Capitol Ave,404-873-7922,16:00,08:00,
Square Grouper Tiki Bar,TN76986,TN,Memphis,157 Hunt St,901-474-4494,16:00,08:00,
Sweet Liberty,TX81235,TX,El Paso,247 Elk St,915-374-1776,16:00,08:00,
Taste by Niche,OR79383,OR,Portland,401 Judson Ave,503-818-8537,20:00,12:00,
The Alembic,CO14594,CO,Denver,722 Al Scoma Way,303-032-2111,16:00,08:00,
The B-Hive,CO28780,CO,Denver,658 Al Scoma Way,303-565-0407,08:00,20:00,
The Backbeat,MA45077,MA,Boston,13 Genoa Pl,617-246-3739,08:00,20:00,
The Baldwin and Sons Trading Co.,CO56559,CO,Denver,171 Forest View Dr,303-604-2381,20:00,12:00,
The Bar Room at the Beekman Hotel,LA66183,LA,New Orleans,436 Stark St,504-468-6961,20:00,12:00,
The Bella Union,MD97648,MD,Baltimore,884 Los Palmos Dr,443-420-8861,16:00,08:00,
The Blank Club,IL71273,IL,Chicago,67 Jersey St,773-057-6959,20:00,12:00,
The Capital Bar & Grill,LA83091,LA,New Orleans,699 Hawes St,504-673-8348,16:00,08:00,
The Carousel Bar & Lounge,GA64004,GA,Atlanta,519 Clinton Park,404-357-5275,20:00,12:00,
The Dead Rabbit,CA19000,CA,Sacramento,535 Oliver St,916-225-0758,20:00,12:00,
The Dubliner,TX20673,TX,Houston,482 Young St,713-702-8052,00:00,24:00,
The Griswold Inn Tap Room,MN59172,MN,Minneapolis,941 Idora Ave,612-400-2673,20:00,12:00,
The Hawthorne,CA52462,CA,San Diego,817 Armistead Rd,858-750-4872,12:00,04:00,
The Kill Devil Club,MA82037,MA,Boston,647 La Ferrera Ter,617-428-9957,00:00,24:00,
The Magdalenae Room,TX77615,TX,Dallas,118 Nottingham Pl,214-128-8485,20:00,12:00,
The Office,TX68472,TX,Austin,775 Pershing Dr,512-745-1325,08:00,20:00,
The Old Seelbach Bar,NV86780,NV,Las Vegas,125 06th Hp Ave,702-367-3733,08:00,20:00,
The Polo Lounge,GA48299,GA,Atlanta,92 Jerome Aly,404-457-8406,08:00,20:00,
The Silver Dollar,PA34271,PA,Philadelphia,318 Townsend St,215-867-7834,00:00,24:00,
The Sound Table,TX11225,TX,El Paso,121 Dorman Ave,915-022-8921,20:00,12:00,
The Upstairs Bar at City Grocery,MD39441,MD,Baltimore,584 Leese St,443-115-9043,08:00,20:00,
The Velvet Tango Room,CA83763,CA,Los Angeles,353 Moultrie St,213-506-0297,00:00,24:00,
The Violet Hour,TX53972,TX,El Paso,523 Missouri St,915-150-1850,12:00,04:00,
The Wayland,LA44238,LA,New Orleans,306 Washington Blvd,504-164-4054,20:00,12:00,
The Whining Pig,MD44849,MD,Baltimore,8 Mccann St,443-638-4556,20:00,12:00,
Tiki-Ti ,LA97559,LA,New Orleans,988 Coventry Ct,504-102-9338,20:00,12:00,
Vesper Bar,FL44926,FL,Jacksonville,782 Avenue B,904-711-8309,16:00,08:00,
Voodoo,PA51916,PA,Philadelphia,341 Velasco Ave,215-226-8337,00:00,24:00,
Weather Up,TN18292,TN,Memphis,929 Caine Ave,901-453-4189,12:00,04:00,
