BarName,ItemName,Price,
Attaboy,cinnamon,24.0,
Attaboy,coconut water,29.5,
Attaboy,jelly beans,7.75,
Attaboy,cream cheese,22.75,
Attaboy,jack cheese,4.99,
Attaboy,pheasants,18.75,
Attaboy,vanilla,4.75,
Attaboy,chestnuts,26.99,
Attaboy,tonic water,21.99,
Attaboy,marshmallows,13.99,
Attaboy,pears,16.0,
Attaboy,molasses,9.75,
Attaboy,peas,13.0,
Attaboy,lemonade,4.75,
Attaboy,orange milkshake,18.75,
Attaboy,cider vinegar,16.75,
Attaboy,mushrooms,29.25,
Attaboy,mozzarella,17.25,
Attaboy,steak,14.99,
Attaboy,coriander,27.0,
B.D. Riley's,Cappuccino Latte,25.99,
B.D. Riley's,unsweetened chocolate,7.99,
B.D. Riley's,curry leaves,2.75,
B.D. Riley's,jasmine tea,11.75,
B.D. Riley's,salmon,14.5,
B.D. Riley's,ginger,6.99,
B.D. Riley's,swiss cheese,28.75,
B.D. Riley's,beer,12.25,
B.D. Riley's,cashew nut,28.5,
B.D. Riley's,mustard seeds,17.99,
B.D. Riley's,flounder,14.25,
B.D. Riley's,halibut,25.75,
B.D. Riley's,lemonade,4.75,
B.D. Riley's,panko bread crumbs,19.5,
B.D. Riley's,Parmesan cheese,10.5,
B.D. Riley's,apple pie spice,12.99,
B.D. Riley's,acorn squash,16.25,
B.D. Riley's,spaghetti squash,22.75,
B.D. Riley's,vegemite,6.25,
B.D. Riley's,prunes,15.99,
B.D. Riley's,baking soda,22.0,
B.D. Riley's,okra,5.5,
B.D. Riley's,chicory,16.75,
B.D. Riley's,garlic powder,11.5,
B.D. Riley's,coconut milk,15.5,
B.D. Riley's,honey,6.25,
B.D. Riley's,spinach,10.75,
B.D. Riley's,steak,14.99,
B.D. Riley's,salsa,8.75,
B.D. Riley's,strawberries,12.99,
B.D. Riley's,snap peas,3.5,
B.D. Riley's,anchovy paste,16.5,
B.D. Riley's,pheasants,18.75,
B.D. Riley's,artificial sweetener,4.99,
B.D. Riley's,ancho chile peppers,19.75,
B.D. Riley's,cookies,29.25,
BackBar,Mandarin oranges,3.75,
BackBar,sweet potatoes,2.5,
BackBar,eel,17.0,
BackBar,pico de gallo,29.99,
BackBar,beets,21.25,
BackBar,truffles,7.0,
BackBar,almond paste,21.25,
BackBar,green onions,23.25,
BackBar,acai juice,18.25,
BackBar,rum,21.5,
BackBar,sauerkraut,6.75,
BackBar,kombucha,2.25,
BackBar,artichokes,21.0,
BackBar,catfish,17.0,
BackBar,figs,11.0,
BackBar,coffee,24.5,
BackBar,chambord,12.25,
BackBar,couscous,5.5,
BackBar,potatoes,11.5,
BackBar,jasmine tea,11.75,
BackBar,snapper,18.0,
BackBar,leeks,19.5,
BackBar,brandy,5.75,
BackBar,rice paper,5.99,
BackBar,sweet chili sauce,2.75,
BackBar,celery,18.5,
BackBar,Worcestershire sauce,26.99,
BackBar,romaine lettuce,18.25,
BackBar,orange peels,21.75,
BackBar,onions,9.0,
BackBar,guavas,17.99,
BackBar,buckwheat,2.75,
BackBar,basil,18.25,
BackBar,Irish cream liqueur,10.0,
BackBar,mesclun greens,22.5,
BackBar,lemon Peel,8.5,
BackBar,squid,5.5,
BackBar,ketchup,4.5,
BackBar,chestnuts,26.99,
BackBar,soymilk,27.0,
BackBar,provolone,27.5,
Bar Agricole,halibut,25.75,
Bar Agricole,peaches,17.99,
Bar Agricole,coconut milk,15.5,
Bar Agricole,corned beef,27.0,
Bar Agricole,potatoes,11.5,
Bar Agricole,orange milkshake,18.75,
Bar Agricole,leeks,19.5,
Bar Agricole,guavas,17.99,
Bar Agricole,cottage cheese,23.5,
Bar Agricole,avocados,28.0,
Bar Agricole,corn flour,13.5,
Bar Agricole,chaurice sausage,20.0,
Bar Agricole,kombucha,2.25,
Bar Agricole,pig's feet,5.99,
Bar Agricole,hazelnuts,3.5,
Bar Agricole,Cappuccino Latte,25.99,
Bar Agricole,alfredo sauce,7.25,
Bar Crudo ,kiwi,16.75,
Bar Crudo ,cornstarch,13.25,
Bar Crudo ,soymilk,27.0,
Bar Crudo ,berries,14.0,
Bar Crudo ,lemonade,4.75,
Bar Crudo ,papayas,16.5,
Bar Crudo ,tarragon,7.25,
Bar Crudo ,scallops,11.25,
Bar Crudo ,olive oil,10.75,
Bar Crudo ,pine nuts,18.99,
Bar Crudo ,parsnips,5.99,
Bar Crudo ,white chocolate,12.75,
Bar Goto,granola,27.99,
Bar Goto,Irish cream liqueur,10.0,
Bar Goto,potatoes,11.5,
Bar Goto,tomato paste,28.99,
Bar Goto,marshmallows,13.99,
Bar Goto,pineapple-mango sherbert punch,8.99,
Bar Goto,clams,7.5,
Bar Goto,tonic water,21.99,
Bar Goto,creme fraiche,14.0,
Bar Goto,sazon,13.75,
Bar Goto,black-eyed peas,23.25,
Bar Goto,chicken liver,10.5,
Bar Goto,sauerkraut,6.75,
Bar Goto,kidney beans,9.0,
Bar Goto,sausages,29.99,
Bar Goto,baking powder,6.25,
Bar Goto,ham,5.5,
Bar Goto,rabbits,20.75,
Bar Goto,sweet peppers,23.25,
Bar Goto,blue cheese,12.99,
Bar Goto,tuna,19.5,
Barnacle Bar,oatmeal,3.99,
Barnacle Bar,feta cheese,17.99,
Barnacle Bar,succotash,16.99,
Barnacle Bar,bacon grease,15.99,
Barnacle Bar,rhubarb,25.25,
Barnacle Bar,coca cola,16.5,
Barnacle Bar,sage,26.0,
Barnacle Bar,bacon,3.75,
Barnacle Bar,chickpeas,20.25,
Barnacle Bar,ale,17.75,
Barnacle Bar,cooking wine,16.25,
Barnacle Bar,sugar,4.5,
Barnacle Bar,sweet chili sauce,2.75,
Barnacle Bar,baking soda,22.0,
Barnacle Bar,tortillas,18.5,
Barnacle Bar,sparkling water,23.99,
Barnacle Bar,tarragon,7.25,
Barnacle Bar,acai juice,18.25,
Barnacle Bar,eggs,28.75,
Barnacle Bar,sea cucumbers,21.99,
Barnacle Bar,mustard,9.75,
Barnacle Bar,white beans,17.25,
Barnacle Bar,vegemite,6.25,
Barnacle Bar,peas,13.0,
Barnacle Bar,brandy,5.75,
Beach Tree Bar,asiago cheese,11.5,
Beach Tree Bar,bean sauce,25.25,
Beach Tree Bar,prawns,21.25,
Beach Tree Bar,snap peas,3.5,
Beach Tree Bar,rhubarb,25.25,
Beach Tree Bar,mesclun greens,22.5,
Beach Tree Bar,steak,14.99,
Beach Tree Bar,plum tomatoes,24.25,
Beach Tree Bar,basil,18.25,
Beach Tree Bar,geese,2.5,
Beach Tree Bar,olives,12.99,
Beach Tree Bar,anchovies,20.0,
Beach Tree Bar,chaurice sausage,20.0,
Beach Tree Bar,onions,9.0,
Beach Tree Bar,peanut butter,9.25,
Beach Tree Bar,yogurt,11.25,
Beach Tree Bar,trout,8.25,
Beach Tree Bar,moo shu wrappers,2.99,
Beach Tree Bar,ricotta cheese,4.0,
Beach Tree Bar,date sugar,26.99,
Beach Tree Bar,blackberries,25.99,
Beach Tree Bar,mushrooms,29.25,
Beach Tree Bar,duck,23.0,
Beach Tree Bar,oatmeal,3.99,
Beach Tree Bar,oregano,5.5,
Beach Tree Bar,jelly beans,7.75,
Beach Tree Bar,unsweetened chocolate,7.99,
Beach Tree Bar,Romano cheese,17.5,
Big Bar,earl gray's tea,27.75,
Big Bar,curry paste,5.5,
Big Bar,lima beans,8.99,
Big Bar,salt,6.99,
Big Bar,jelly beans,7.75,
Big Bar,rabbits,20.75,
Big Bar,almond paste,21.25,
Big Bar,breadcrumbs,23.25,
Big Bar,dates,16.0,
Big Bar,ancho chile peppers,19.75,
Big Bar,mustard,9.75,
Big Bar,crabs,6.75,
Big Bar,orange juice,9.75,
Big Bar,chicory,16.75,
Big Bar,pink beans,3.0,
Big Bar,beans,4.0,
Big Bar,red snapper,25.25,
Big Bar,chocolate milkshake,9.99,
Big Bar,sparkling water,23.99,
Big Bar,almond milk,27.75,
Big Bar,borscht,20.99,
Big Bar,sweet chili sauce,2.75,
Big Bar,soybeans,16.5,
Big Bar,water,21.75,
Big Bar,passion fruit,15.99,
Big Bar,raspberries,27.75,
Big Bar,red cabbage,29.0,
Big Bar,leeks,19.5,
Billy Sunday,red chile powder,29.5,
Billy Sunday,papayas,16.5,
Billy Sunday,swiss cheese,28.75,
Billy Sunday,tea,28.0,
Billy Sunday,sparkling water,23.99,
Billy Sunday,celery seeds,6.99,
Billy Sunday,halibut,25.75,
Billy Sunday,turtle,10.5,
Billy Sunday,dr. pepper,12.75,
Billy Sunday,amaretto,6.5,
Billy Sunday,peas,13.0,
Billy Sunday,okra,5.5,
Billy Sunday,sugar,4.5,
Billy Sunday,rice vinegar,18.25,
Billy Sunday,pig's feet,5.99,
Billy Sunday,red beans,18.75,
Billy Sunday,alfredo sauce,7.25,
Billy Sunday,sweet chili sauce,2.75,
Billy Sunday,molasses,9.75,
Billy Sunday,watermelons,9.99,
Billy Sunday,tomato puree,15.75,
Billy Sunday,ginger ale,23.75,
Billy Sunday,vermouth,13.0,
Billy Sunday,habanero chilies,13.99,
Billy Sunday,alligator,22.0,
Billy Sunday,olives,12.99,
Billy Sunday,bard,5.75,
Billy Sunday,avocados,28.0,
Billy Sunday,pancetta,15.0,
Billy Sunday,passion fruit,15.99,
Billy Sunday,dried leeks,6.99,
Billy Sunday,pomegranates,22.5,
Billy Sunday,mascarpone,10.75,
Billy Sunday,Parmesan cheese,10.5,
Billy Sunday,panko bread crumbs,19.5,
Billy Sunday,scallops,11.25,
Billy Sunday,macaroni,15.75,
Billy Sunday,steak,14.99,
Billy Sunday,artichokes,21.0,
Billy Sunday,sauerkraut,6.75,
Billy Sunday,hash browns,29.25,
Billy Sunday,french fries,23.0,
Billy Sunday,black-eyed peas,23.25,
Billy Sunday,turnips,24.25,
Billy Sunday,English muffins,15.99,
Bit House Saloon,wild rice,13.99,
Bit House Saloon,artificial sweetener,4.99,
Bit House Saloon,cream of tartar,27.25,
Bit House Saloon,kidney beans,9.0,
Bit House Saloon,green tea,27.5,
Bit House Saloon,thyme,19.75,
Bit House Saloon,chipotle peppers,8.25,
Bit House Saloon,lemon Peel,8.5,
Bit House Saloon,ricotta cheese,4.0,
Bit House Saloon,artichokes,21.0,
Bit House Saloon,peanuts,10.5,
Bit House Saloon,bean sprouts,5.99,
Bit House Saloon,ginger ale,23.75,
Bit House Saloon,Kahlua,17.5,
Bit House Saloon,tomatoes,10.75,
Bit House Saloon,avocados,28.0,
Bit House Saloon,brandy,5.75,
Bit House Saloon,ice cream,14.99,
Bit House Saloon,croutons,15.0,
Bit House Saloon,bass,12.99,
Bit House Saloon,dr. pepper,12.75,
Bit House Saloon,almond milk,27.75,
Bit House Saloon,turnips,24.25,
Bit House Saloon,watermelons,9.99,
Bit House Saloon,Marsala,12.25,
Bit House Saloon,aioli,13.5,
Bit House Saloon,navy beans,22.5,
Bit House Saloon,marmalade,17.0,
Bit House Saloon,rabbits,20.75,
Bit House Saloon,macaroni,15.75,
Bit House Saloon,plantains,29.0,
Bit House Saloon,anchovy paste,16.5,
Bit House Saloon,vanilla bean,6.0,
Bit House Saloon,nectarines,28.5,
Bit House Saloon,mushrooms,29.25,
Bit House Saloon,shitakes,18.75,
Bit House Saloon,broccoli,6.25,
BlackTail,coconuts,9.75,
BlackTail,mesclun greens,22.5,
BlackTail,sunflower seeds,26.5,
BlackTail,applesauce,23.5,
BlackTail,tofu,24.99,
BlackTail,margarine,8.25,
BlackTail,rice paper,5.99,
BlackTail,cranberry juice,24.75,
BlackTail,milk,11.75,
BlackTail,sweet peppers,23.25,
BlackTail,custard,11.5,
BlackTail,lemonade,4.75,
BlackTail,Mandarin oranges,3.75,
BlackTail,zinfandel wine,27.0,
BlackTail,basil,18.25,
BlackTail,dr. pepper,12.75,
BlackTail,vinegar,9.0,
BlackTail,peas,13.0,
Blackberry Farm,snapper,18.0,
Blackberry Farm,orange juice,9.75,
Blackberry Farm,rice vinegar,18.25,
Blackberry Farm,watermelons,9.99,
Blackberry Farm,oatmeal,3.99,
Blackberry Farm,liver,26.25,
Blackberry Farm,skim milk,21.0,
Blackberry Farm,gelatin,26.5,
Blackberry Farm,ale,17.75,
Blackberry Farm,sauerkraut,6.75,
Blackberry Farm,turkeys,25.99,
Blackberry Farm,bean sprouts,5.99,
Blackberry Farm,pepper,16.0,
Blackberry Farm,cayenne pepper,4.75,
Blue Angel,chili sauce,14.0,
Blue Angel,cottage cheese,23.5,
Blue Angel,curry powder,24.75,
Blue Angel,pistachios,28.75,
Blue Angel,sea cucumbers,21.99,
Blue Angel,ginger,6.99,
Blue Angel,cloves,9.99,
Blue Angel,basil,18.25,
Blue Angel,brown sugar,10.25,
Blue Angel,lobsters,28.5,
Blue Angel,portabella mushrooms,28.5,
Blue Angel,provolone,27.5,
Blue Angel,tomato paste,28.99,
Blue Angel,gorgonzola,15.99,
Blue Angel,tomato sauce,26.5,
Blue Angel,rice wine,14.25,
Blue Angel,wine vinegar,26.0,
Blue Angel,broth,28.99,
Blue Angel,vermouth,13.0,
Blue Angel,jack cheese,4.99,
Blue Angel,pesto,18.75,
Blue Angel,cooking wine,16.25,
Blue Angel,olive oil,10.75,
Blue Angel,pomegranates,22.5,
Blue Angel,dill,19.75,
Blue Angel,curry leaves,2.75,
Blue Angel,salt,6.99,
Blue Angel,habanero chilies,13.99,
Blue Angel,cream,2.5,
Blue Angel,garlic powder,11.5,
Blue Angel,scallops,11.25,
Blue Angel,creme fraiche,14.0,
Blue Angel,fish sauce,12.99,
Blue Angel,acorn squash,16.25,
Blue Tattoo,garlic powder,11.5,
Blue Tattoo,chicken liver,10.5,
Blue Tattoo,earl gray's tea,27.75,
Blue Tattoo,melons,21.75,
Blue Tattoo,curry leaves,2.75,
Blue Tattoo,avocados,28.0,
Blue Tattoo,corn,19.99,
Blue Tattoo,oregano,5.5,
Blue Tattoo,tarragon,7.25,
Blue Tattoo,shitakes,18.75,
Blue Tattoo,baking soda,22.0,
Blue Tattoo,mayonnaise,7.0,
Blue Tattoo,plantains,29.0,
Blue Tattoo,mustard,9.75,
Blue Tattoo,ketchup,4.5,
Blue Tattoo,kombucha,2.25,
Blue Tattoo,split peas,5.0,
Blue Tattoo,borscht,20.99,
Blue Tattoo,pheasants,18.75,
Blue Tattoo,mint milkshake,5.99,
Blue Tattoo,sazon,13.75,
Blue Tattoo,date sugar,26.99,
Blue Tattoo,cranberries,28.25,
Blue Tattoo,black olives,7.99,
Blue Tattoo,raspberries,27.75,
Blue Tattoo,tomato paste,28.99,
Blue Tattoo,tomato sauce,26.5,
Blue Tattoo,alfredo sauce,7.25,
Blue Tattoo,catfish,17.0,
Blue Tattoo,poppy seeds,13.75,
Blue Tattoo,andouille sausage,6.75,
Blue Tattoo,lobsters,28.5,
Blue Tattoo,maple syrup,11.75,
Blue Tattoo,ale,17.75,
Blue Tattoo,mustard seeds,17.99,
Blue Tattoo,white beans,17.25,
Blue Tattoo,brown sugar,10.25,
Blue Tattoo,salmon,14.5,
Blue Tattoo,pink beans,3.0,
Blue Tattoo,powdered sugar,3.25,
Blue Tattoo,peaches,17.99,
Britannia Arms,powdered sugar,3.25,
Britannia Arms,maraschino cherries,10.99,
Britannia Arms,pepper,16.0,
Britannia Arms,Cappuccino Latte,25.99,
Britannia Arms,garlic powder,11.5,
Britannia Arms,green beans,19.25,
Britannia Arms,tomato juice,12.99,
Britannia Arms,snap peas,3.5,
Britannia Arms,turtle,10.5,
Britannia Arms,cucumbers,22.25,
Britannia Arms,water,21.75,
Britannia Arms,gouda,10.99,
Britannia Arms,arugula,26.25,
Britannia Arms,chestnuts,26.99,
Britannia Arms,skim milk,21.0,
Britannia Arms,coriander,27.0,
Britannia Arms,chili sauce,14.0,
Britannia Arms,pesto,18.75,
Britannia Arms,berries,14.0,
Britannia Arms,peas,13.0,
Britannia Arms,couscous,5.5,
Britannia Arms,Kahlua,17.5,
Britannia Arms,cocoa powder,21.25,
Britannia Arms,green tea,27.5,
Britannia Arms,Worcestershire sauce,26.99,
Britannia Arms,honeydew melons,5.5,
Britannia Arms,corn syrup,10.75,
Britannia Arms,squash,24.5,
Britannia Arms,salmon,14.5,
Britannia Arms,blueberries,21.25,
Britannia Arms,cantaloupes,5.25,
Britannia Arms,cabbage,12.25,
Broken Shaker,alligator,22.0,
Broken Shaker,chives,29.75,
Broken Shaker,adobo,24.0,
Broken Shaker,split peas,5.0,
Broken Shaker,mayonnaise,7.0,
Broken Shaker,tomato juice,12.99,
Broken Shaker,soymilk,27.0,
Broken Shaker,won ton skins,20.0,
Broken Shaker,squash,24.5,
Broken Shaker,green tea,27.5,
Broken Shaker,five-spice powder,17.25,
Broken Shaker,mussels,29.75,
Broken Shaker,sugar,4.5,
Broken Shaker,sushi,5.25,
Broken Shaker,curry powder,24.75,
Broken Shaker,Havarti cheese,2.0,
Broken Shaker,steak,14.99,
Broken Shaker,horseradish,28.75,
Broken Shaker,chicory,16.75,
Broken Shaker,spearmint,22.25,
Broken Shaker,cantaloupes,5.25,
Broken Shaker,ale,17.75,
Broken Shaker,pinto beans,9.25,
Broken Shaker,baguette,7.0,
Broken Shaker,breadfruit,25.5,
Broken Shaker,tarragon,7.25,
Broken Shaker,guavas,17.99,
Cabana,mascarpone,10.75,
Cabana,trout,8.25,
Cabana,sparkling water,23.99,
Cabana,cabbage,12.25,
Cabana,powdered sugar,3.25,
Cabana,sherry,7.25,
Cabana,cauliflower,17.5,
Cabana,date sugar,26.99,
Cabana,rice wine,14.25,
Cabana,vermouth,13.0,
Cabana,turnips,24.25,
Cabana,Havarti cheese,2.0,
Cabana,plum tomatoes,24.25,
Cabana,cream of tartar,27.25,
Cannon,spinach,10.75,
Cannon,mint,13.25,
Cannon,coconuts,9.75,
Cannon,asparagus,7.0,
Cannon,duck,23.0,
Cannon,rum,21.5,
Cannon,sushi,5.25,
Cannon,aquavit,19.0,
Cannon,pesto,18.75,
Cannon,tonic water,21.99,
Cannon,margarine,8.25,
Cannon,bay leaves,7.5,
Cannon,carrots,14.75,
Cannon,sweet chili sauce,2.75,
Cannon,sage,26.0,
Cannon,quail,25.99,
Cannon,chili sauce,14.0,
Cannon,Cappuccino Latte,25.99,
Cannon,lemon Peel,8.5,
Cannon,onions,9.0,
Cannon,marmalade,17.0,
Cannon,summer squash,10.0,
Cannon,anchovies,20.0,
Cannon,parsnips,5.99,
Cannon,turkeys,25.99,
Cannon,curry powder,24.75,
Caravan,sunflower seeds,26.5,
Caravan,brussels sprouts,8.5,
Caravan,orange peels,21.75,
Caravan,crabs,6.75,
Caravan,fennel,16.0,
Caravan,maraschino cherries,10.99,
Caravan,ketchup,4.5,
Caravan,cod,28.75,
Caravan,mustard seeds,17.99,
Caravan,pesto,18.75,
Caravan,maple syrup,11.75,
Caravan,buttermilk,17.5,
Caravan,custard,11.5,
Charlie Was A Sinner,pepsi,19.0,
Charlie Was A Sinner,plantains,29.0,
Charlie Was A Sinner,bass,12.99,
Charlie Was A Sinner,curry powder,24.75,
Charlie Was A Sinner,maple syrup,11.75,
Charlie Was A Sinner,eggplants,25.25,
Charlie Was A Sinner,red snapper,25.25,
Charlie Was A Sinner,wine,17.99,
Charlie Was A Sinner,orange milkshake,18.75,
Charlie Was A Sinner,green tea,27.5,
Charlie Was A Sinner,cornstarch,13.25,
Charlie Was A Sinner,coriander,27.0,
Charlie Was A Sinner,bard,5.75,
Charlie Was A Sinner,french fries,23.0,
Charlie Was A Sinner,artichokes,21.0,
Charlie Was A Sinner,lemon juice,10.5,
Charlie Was A Sinner,pheasants,18.75,
Charlie Was A Sinner,pepper,16.0,
Charlie Was A Sinner,pig's feet,5.99,
Charlie Was A Sinner,marmalade,17.0,
Charlie Was A Sinner,hot chocolate,18.5,
Charlie Was A Sinner,caviar,8.75,
Charlie Was A Sinner,parsnips,5.99,
Charlie Was A Sinner,spearmint,22.25,
Charlie Was A Sinner,gorgonzola,15.99,
Charlie Was A Sinner,lima beans,8.99,
Charlie Was A Sinner,pancetta,15.0,
Charlie Was A Sinner,moo shu wrappers,2.99,
Charlie Was A Sinner,pico de gallo,29.99,
Charlie Was A Sinner,passion fruit,15.99,
Charlie Was A Sinner,chives,29.75,
Charlie Was A Sinner,crayfish,3.25,
Clover Club,paprika,25.99,
Clover Club,romaine lettuce,18.25,
Clover Club,corned beef,27.0,
Clover Club,sardines,7.0,
Clover Club,ale,17.75,
Clover Club,pea beans,20.99,
Clover Club,plum tomatoes,24.25,
Clover Club,caviar,8.75,
Clover Club,swordfish,13.25,
Clover Club,onion powder,13.75,
Clover Club,bagels,6.99,
Clover Club,cod,28.75,
Club 175,octopus,2.75,
Club 175,hazelnuts,3.5,
Club 175,snap peas,3.5,
Club 175,pinto beans,9.25,
Club 175,beef,3.75,
Club 175,navy beans,22.5,
Club 175,jack cheese,4.99,
Club 175,poppy seeds,13.75,
Club 175,watermelons,9.99,
Club 175,tomato puree,15.75,
Club 175,figs,11.0,
Club 175,poultry seasoning,23.0,
Club 175,balsamic vinegar,16.99,
Club 175,sushi,5.25,
Club 175,flounder,14.25,
Club 175,sea cucumbers,21.99,
Club 175,tonic water,21.99,
Club 175,dried leeks,6.99,
Club 175,ice cream,14.99,
Club 175,bean threads,2.75,
Club 175,thyme,19.75,
Club 175,rice,24.99,
Club 175,maple syrup,11.75,
Club 175,chard,21.5,
Club 175,pecans,21.0,
Club 175,coriander,27.0,
Club 175,Parmesan cheese,10.5,
Club 175,Mandarin oranges,3.75,
Club 175,curry leaves,2.75,
Club 175,ale,17.75,
Club 175,lemonade,4.75,
Club 175,blue cheese,12.99,
Club 175,/usr/local/bin/python3.6 "/Users/forrest/Documents/School/03-01/Prin Info/Project 2/Population/Combine4.py",3.5,
Club 175,chili sauce,14.0,
Club 175,white chocolate,12.75,
Club 175,coconut water,29.5,
Club 175,cornmeal,9.99,
Club 175,parsnips,5.99,
Club 175,pumpkin seeds,19.75,
Club 175,white beans,17.25,
Club 175,rose water,26.75,
Club 175,crabs,6.75,
Club 175,water,21.75,
Club 175,squid,5.5,
Club 175,snow peas,11.75,
Club 175,parsley,11.75,
Club 175,adobo,24.0,
Club 175,grits,3.25,
Club 175,kidney beans,9.0,
Club No Minors,almond extract,16.25,
Club No Minors,custard,11.5,
Club No Minors,grouper,29.25,
Club No Minors,paprika,25.99,
Club No Minors,mozzarella,17.25,
Club No Minors,oatmeal,3.99,
